trip_id,start_time,end_time,headway_secs,exact_times
L001I01S1LAB,06:00:00,06:15:00,900,1
L001I01S1LAB,06:15:00,06:35:00,1200,1
L001I01S1LAB,06:35:00,07:13:00,2280,1
L001I01S1LAB,07:13:00,07:46:00,990,1
L001I01S1LAB,07:46:00,08:52:00,1980,1
L001I01S1LAB,08:52:00,17:40:00,990,1
L001I01S1LAB,17:40:00,18:13:00,1980,1
L001I01S1LAB,18:13:00,18:30:00,1020,1
L001I01S1LAB,18:30:00,19:37:00,2010,1
L001I01S1LAB,19:37:00,19:55:00,1080,1
L001I01S1LAB,19:55:00,21:15:00,1200,1
L001I01S1LAB,21:15:00,24:15:00,1800,1
L001I01S1LAB,24:15:00,25:10:00,3300,1
L001I01S2LAB,05:30:00,05:55:00,1500,1
L001I01S2LAB,05:55:00,06:35:00,1200,1
L001I01S2LAB,06:35:00,07:25:00,1000,1
L001I01S2LAB,07:25:00,07:58:00,1980,1
L001I01S2LAB,07:58:00,08:31:00,990,1
L001I01S2LAB,08:31:00,09:37:00,1980,1
L001I01S2LAB,09:37:00,18:25:00,990,1
L001I01S2LAB,18:25:00,19:00:00,2100,1
L001I01S2LAB,19:00:00,19:20:00,1200,1
L001I01S2LAB,19:20:00,20:40:00,2400,1
L001I01S2LAB,20:40:00,21:00:00,1200,1
L001I01S2LAB,21:00:00,25:00:00,1800,1
L001I02S1LAB,17:57:00,18:46:00,2940,1
L001I02S1LAB,18:46:00,19:19:00,1980,1
L001I02S2LAB,18:42:00,19:40:00,3480,1
L001I02S2LAB,19:40:00,20:20:00,2400,1
L001I03S1LAB,06:57:00,08:03:00,3960,1
L001I03S1LAB,08:03:00,08:36:00,1980,1
L001I03S2LAB,07:42:00,08:48:00,3960,1
L001I03S2LAB,08:48:00,09:21:00,1980,1
L002I01S1LAB,07:13:00,07:28:00,900,1
L002I01S1LAB,07:28:00,07:45:00,1020,1
L002I01S1LAB,07:45:00,21:30:00,900,1
L003I01S1LAB,05:45:00,06:30:00,900,1
L003I01S1LAB,06:30:00,07:10:00,600,1
L003I01S1LAB,07:10:00,09:13:00,492,1
L003I01S1LAB,09:13:00,10:15:00,620,1
L003I01S1LAB,10:15:00,18:20:00,570,1
L003I01S1LAB,18:20:00,19:40:00,685,1
L003I01S1LAB,19:40:00,20:20:00,800,1
L003I01S1LAB,20:20:00,21:20:00,900,1
L003I01S1LAB,21:20:00,22:40:00,1200,1
L003I01S1LAB,22:40:00,24:40:00,1800,1
L003I01S2LAB,06:40:00,06:59:00,1140,1
L003I01S2LAB,06:59:00,08:24:00,637,1
L003I01S2LAB,08:24:00,09:03:00,585,1
L003I01S2LAB,09:03:00,11:26:00,612,1
L003I01S2LAB,11:26:00,19:53:00,563,1
L003I01S2LAB,19:53:00,20:43:00,750,1
L003I01S2LAB,20:43:00,21:43:00,900,1
L003I01S2LAB,21:43:00,22:00:00,1020,1
L003I01S2LAB,22:00:00,22:40:00,1200,1
L003I01S2LAB,22:40:00,24:40:00,1800,1
L005I01S1LAB,06:00:00,06:40:00,1200,1
L005I01S1LAB,06:40:00,06:54:00,840,1
L005I01S1LAB,06:54:00,07:06:00,720,1
L005I01S1LAB,07:06:00,07:23:00,510,1
L005I01S1LAB,07:23:00,07:30:00,420,1
L005I01S1LAB,07:30:00,09:07:00,582,1
L005I01S1LAB,09:07:00,12:45:00,654,1
L005I01S1LAB,12:45:00,13:01:00,480,1
L005I01S1LAB,13:01:00,17:21:00,650,1
L005I01S1LAB,17:21:00,19:38:00,685,1
L005I01S1LAB,19:38:00,20:30:00,780,1
L005I01S1LAB,20:30:00,21:50:00,1200,1
L005I01S1LAB,21:50:00,22:25:00,2100,1
L005I01S1LAB,22:25:00,23:05:00,2400,1
L005I01S2LAB,06:10:00,06:40:00,1800,1
L005I01S2LAB,06:40:00,07:20:00,1200,1
L005I01S2LAB,07:20:00,10:40:00,666,1
L005I01S2LAB,10:40:00,12:38:00,643,1
L005I01S2LAB,12:38:00,14:18:00,545,1
L005I01S2LAB,14:18:00,17:24:00,656,1
L005I01S2LAB,17:24:00,20:50:00,686,1
L005I01S2LAB,20:50:00,21:50:00,1200,1
L005I01S2LAB,21:50:00,22:25:00,2100,1
L005I01S2LAB,22:25:00,23:05:00,2400,1
L006I01S1LAB,06:20:00,06:45:00,1500,1
L006I01S1LAB,06:45:00,08:45:00,1800,1
L006I01S1LAB,08:45:00,20:30:00,1922,1
L006I01S1LAB,20:30:00,21:00:00,1800,1
L006I01S2LAB,06:55:00,07:30:00,2100,1
L006I01S2LAB,07:30:00,08:00:00,1800,1
L006I01S2LAB,08:00:00,14:24:00,1920,1
L006I01S2LAB,14:24:00,15:00:00,2160,1
L006I01S2LAB,15:00:00,15:28:00,1680,1
L006I01S2LAB,15:28:00,19:45:00,1927,1
L006I01S2LAB,19:45:00,20:45:00,1800,1
L007I01S1LAB,06:00:00,06:20:00,1200,1
L007I01S1LAB,06:20:00,06:30:00,600,1
